Year,Month,Site,Block,Plot,Total_ticks,D_occidentalis,I_pacificus,D_variabilis,Other_unknown,,,,,,,,,,,,,,,,
2019,September,Mesic,1,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Mesic,1,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Mesic,2,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Mesic,2,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Mesic,2,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Mesic,3,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Mesic,3,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Mesic,3,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Intermediate,1,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Intermediate,2,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Intermediate,2,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Intermediate,2,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Intermediate,3,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Intermediate,3,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Intermediate,3,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Intermediate,1,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Intermediate,1,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Arid,1,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Arid,1,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Arid,1,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Arid,2,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Arid,2,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Arid,2,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Arid,3,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Arid,3,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,September,Arid,3,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,October,Mesic,1,Open,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Mesic,1,Partial,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Mesic,1,Total,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Mesic,2,Open,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Mesic,2,Partial,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Mesic,2,Total,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Mesic,3,Open,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Mesic,3,Partial,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Mesic,3,Total,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Intermediate,1,Total,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Intermediate,2,Open,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Intermediate,2,Partial,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Intermediate,2,Total,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Intermediate,3,Open,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Intermediate,3,Partial,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Intermediate,3,Total,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Intermediate,1,Open,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Intermediate,1,Partial,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Arid,1,Open,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Arid,1,Partial,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Arid,1,Total,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Arid,2,Open,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Arid,2,Partial,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Arid,2,Total,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Arid,3,Open,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Arid,3,Partial,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,October,Arid,3,Total,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
2019,November,Arid,2,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Arid,2,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Arid,2,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Arid,1,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Arid,1,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Arid,1,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Arid,3,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Arid,3,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Arid,3,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Intermediate,3,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Intermediate,3,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Intermediate,3,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Intermediate,2,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Intermediate,2,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Intermediate,2,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Intermediate,1,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Intermediate,1,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Intermediate,1,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Mesic,1,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Mesic,1,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Mesic,1,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Mesic,2,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Mesic,2,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Mesic,2,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Mesic,3,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Mesic,3,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,November,Mesic,3,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Arid,2,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Arid,2,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Arid,2,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Arid,1,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Arid,1,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Arid,1,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Arid,3,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Arid,3,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Arid,3,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Intermediate,3,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Intermediate,3,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Intermediate,3,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Intermediate,2,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Intermediate,2,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Intermediate,2,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Intermediate,1,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Intermediate,1,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Intermediate,1,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Mesic,1,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Mesic,1,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Mesic,1,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Mesic,2,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Mesic,2,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Mesic,2,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Mesic,3,Total,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Mesic,3,Partial,0,0,0,0,0,,,,,,,,,,,,,,,,
2019,December,Mesic,3,Open,0,0,0,0,0,,,,,,,,,,,,,,,,
